country,year,M,X,dep_m,n_suppliers,HHI,HHI_clean,entropy,entropy_clean,DCI,GDP.x,DEE,DTE,DMSP,DUC,DTI,asym,cyc2,cyc_katz,broker,eigen,country_name,GDP.y,new_cb_firms,CB_Firms_Cumulative
AFG,2016,178265291.65750882,0,1,24,0.7702956912531794,0.7603085473946221,0.6182820496143178,0.19454738107649544,0,563.872336723147,NA,NA,NA,NA,NA,0.7702956912531794,0,0,0,0.4260140128523697,Afghanistan,18116572395.0772,5,95
AFG,2017,208806828.633716,0,1,25,0.7807594079038216,0.7716243832331475,0.6033483267010655,0.18744069654372894,0,562.769574140988,6.4457901432721,11.3100207774837,5.89866915150556,0.58562933366166,7.98884131043751,0.7807594079038216,0,0,0,0.4144273454400834,Afghanistan,18753456497.8159,3,98
AFG,2018,226854030.55577597,0,1,27,0.7827545812949998,0.7743989882678842,0.5908436852782459,0.17926969971500703,0,553.125151688293,6.31183676424143,11.0588477917789,6.16979823300616,0.772407566810573,7.24629346537008,0.7827545812949998,0,0,0,0.4370252374041398,Afghanistan,18053222687.4126,1,99
AFG,2019,245323053.24244907,0,1,28,0.7939645799773565,0.7863336384950363,0.5681000892629374,0.17048776193903756,0,557.861533207459,5.91741110508455,9.91841122339165,6.17128887020279,0.83864200521252,6.74130232153124,0.7939645799773565,0,0,0,0.4431663634431005,Afghanistan,18799444490.1128,3,102
AFG,2020,247846272.24988613,0,1,28,0.7787322899148561,0.7705371895413322,0.5847944328377377,0.17549776163258055,0,527.834554499306,6.05848176116903,10.4296944148231,5.41673732308078,0.867089071083652,7.52040623568859,0.7787322899148561,0,0,0,0.42689760381028014,Afghanistan,19955929052.1496,3,105
AFG,2021,299721628.5670362,0,1,27,0.7801628574929972,0.7717075827811893,0.5636395140051237,0.1710155984414501,0,408.625855217403,6.41201383962982,10.6345354799905,5.72788582643115,0.77357046069508,8.51206359140251,0.7801628574929972,0,0,0,0.3880261907945695,Afghanistan,14259995441.0759,2,107
AGO,2016,189777738.42213723,0,1,24,0.7540768395886477,0.743384528266415,0.6494932993646314,0.20436824989006633,0,3454.03317187119,NA,NA,NA,NA,NA,0.7540768395886477,0,0,0,0.4260140128523698,Angola,59878249719.3279,9,162
AGO,2017,192311409.35571936,0,1,25,0.7788293695343763,0.7696139265983086,0.6026870119336792,0.1872352475598703,0,3328.8982124109,8.45436127145595,16.4292563012098,4.97625051467658,2.49564770219966,9.91629056773772,0.7788293695343763,0,0,0,0.4144273454400834,Angola,84376935689.3366,12,174
AGO,2018,210872968.36598557,0,1,26,0.7791681980436314,0.7703349259653766,0.5945696773177567,0.1824898895349541,0,3196.79006983557,8.867985398078,17.4396761061263,4.99042239830219,2.48783392733573,10.5540091605477,0.7791681980436314,0,0,0,0.42442839298738744,Angola,89512794227.495,8,182
AGO,2019,214118452.51651824,0,1,26,0.7769689921707883,0.7680477518576199,0.5999629034080647,0.18414521988731472,0,3083.97534427357,9.3101983224227,17.7404270592245,5.72891029989564,3.49146370549791,10.2799922250728,0.7769689921707883,0,0,0,0.403929787405339,Angola,80734428592.5368,13,195
AGO,2020,214924853.4121635,0,1,30,0.7631289316658184,0.754960963792226,0.6060128783954221,0.1781763333297832,0,2864.16146036893,10.6022348476133,16.7416415815716,7.17671620313443,7.08135324907995,11.4092283566672,0.7631289316658184,0,0,0,0.46169660698579057,Angola,58852456453.8769,5,200
AGO,2021,253804730.8926425,0,1,27,0.7509450321893721,0.7413659949658864,0.6154717576784158,0.18674217890662048,0,2832.81777132286,11.3376925334227,16.4203689982109,7.87187443033948,7.44445330338883,13.6140734017517,0.7509450321893721,0,0,0,0.3899750060434709,Angola,79559543805.2963,4,204
ALB,2016,296340755.5171506,0,1,28,0.6731289828796216,0.6610226489122002,0.8378545942728458,0.25144152818783394,0,4431.55635814168,NA,NA,NA,NA,NA,0.6731289828796216,0,0,0,0.5040044199346387,Albania,11988668784.6628,20,316
ALB,2017,319130308.6927046,13500,0.9999576993203932,34,0.6785593605228788,0.6688187350841781,0.8303380011043748,0.235465998246097,0.007406167280982138,4648.23078660658,23.3168749983409,22.4106932861593,23.360387501275,20.9371167144419,26.5593024914875,0.6785593596017677,907186544.1471968,9.078360285741384e-11,0,0.5615095308048333,Albania,13258268435.6048,23,339
ALB,2018,530001963.20400864,2910835.9999691616,0.9945378756068213,34,0.6956731658919215,0.6864511406159192,0.786991279330054,0.22317380024996641,0.009284431046207754,4893.82375538717,26.382235430516,23.2376169603564,26.7008445416093,24.9444411893736,30.6460390307247,0.6956271712788581,1049503622272958.8,3.1739114696449633e-6,0,0.5527208879549961,Albania,15379508329.7568,19,358
ALB,2019,547738697.9819803,4547380.999973847,0.9917662581531003,35,0.7037223733271221,0.6950083254838021,0.7764585575838032,0.21839171415991482,0.009740039195176676,5072.43648354739,31.5149721819045,22.7363389774104,30.0422091697014,37.1124269360448,36.1689136444615,0.7036636179099441,1720510102859550.5,4.072104883290351e-6,0,0.5580801284935336,Albania,15585111614.0376,14,372
ALB,2020,584688007.4333963,2777393.0001102854,0.9952722441218482,39,0.6722797461474352,0.6636555289407888,0.8304925728065322,0.22668994083500751,0.007995298063175907,4980.61699524696,32.0768258349764,24.399604562348,29.5310392854063,36.2411379430804,38.1355215490708,0.6722498073144729,1199585771533757.5,1.9786886846784313e-6,0,0.5874246195666827,Albania,15241458744.5927,15,387
ALB,2021,784520669.7303474,9510,0.999987878095393,39,0.6599587851573976,0.6510103321352239,0.8347221037797153,0.2278444269285202,0.009096477990919668,5511.75743402862,34.4844339500295,25.4223198161441,31.06177409672,42.9024795836623,38.5511623035916,0.6599587825649437,8217079366.839039,1.203519506276507e-10,0,0.5680054497052405,Albania,18031989573.0294,9,396
AND,2016,758520909.5487391,0,1,33,0.7052087650699354,0.6959965389783709,0.758557130584066,0.2169470871288256,0,40085.0394278177,NA,NA,NA,NA,NA,0.7052087650699354,0,0,0,0.5870000322975214,Andorra,2896611878.6258,6,57
