firm,iso_o,category,parent
DOCUSIGN BRAZIL LLC,USA,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN FRANCE,FRA,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN GERMANY GMBH,DEU,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN INTERNATIONAL (ASIA-PACIFIC) PRIVATE LIMITED,SGP,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN INTERNATIONAL (EMEA) LIMITED,IRL,software_productivity-software_administrative-software,"DOCUSIGN, INC."
"DOCUSIGN INTERNATIONAL, INC",BRA,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN ISRAEL LTD,ISR,software_productivity-software_administrative-software,"DOCUSIGN, INC."
DOCUSIGN UK LIMITED,GBR,software_productivity-software_administrative-software,"DOCUSIGN, INC."
"DOCUSIGN, INC.",USA,software_productivity-software_administrative-software,"DOCUSIGN, INC."
"DOMO, INC.",USA,software_enterprise-software_other-enterprise-software,"DOMO, INC."
"DONGYING KUAISHOU AXIU NETWORK SCIENCE AND TECHNOLOGY CO., LTD.",CHN,digital-advertising,"BEIJING DAJIA INTERNET INFORMATION TECHNOLOGY CO., LTD."
DOORDASH TECHNOLOGIES AUSTRALIA PTY LTD,AUS,online-food-ordering,"DOORDASH, INC."
"DOORDASH, INC.",USA,online-food-ordering,"DOORDASH, INC."
DOUBLECLOUD GMBH,DEU,digital-advertising,YANDEX N.V
DOUBLECLOUD GMBH,DEU,digital-media_digital-music_music-streaming,YANDEX N.V
DOUBLECLOUD GMBH,DEU,online-food-ordering,YANDEX N.V
DOUBLECLOUD GMBH,DEU,online-marketplace,YANDEX N.V
DOUBLECLOUD GMBH,DEU,online-ride-hailing,YANDEX N.V
DRIZLY INC,USA,online-food-ordering,"UBER TECHNOLOGIES, INC."
DRIZLY INC,USA,online-ride-hailing,"UBER TECHNOLOGIES, INC."
DROPBOX AUSTRALIA PTY LTD,AUS,file-hosting-service,"DROPBOX, INC."
DROPBOX FRANCE,FRA,file-hosting-service,"DROPBOX, INC."
DROPBOX GERMANY GMBH,DEU,file-hosting-service,"DROPBOX, INC."
DROPBOX HOLDING LLC,USA,file-hosting-service,"DROPBOX, INC."
DROPBOX INTERNATIONAL UNLIMITED COMPANY,IRL,file-hosting-service,"DROPBOX, INC."
DROPBOX ISRAEL ONLINE LTD.,ISR,file-hosting-service,"DROPBOX, INC."
DROPBOX JAPAN K.K.,JPN,file-hosting-service,"DROPBOX, INC."
DROPBOX MEXICO S. DE R.L. DE C.V,MEX,file-hosting-service,"DROPBOX, INC."
DROPBOX NETHERLANDS B.V.,NLD,file-hosting-service,"DROPBOX, INC."
DROPBOX SINGAPORE PTE. LTD.,SGP,file-hosting-service,"DROPBOX, INC."
DROPBOX SWEDEN AB,SWE,file-hosting-service,"DROPBOX, INC."
DROPBOX UK ONLINE LTD.,GBR,file-hosting-service,"DROPBOX, INC."
"DROPBOX, INC.",USA,file-hosting-service,"DROPBOX, INC."
DYNAMIXYZ,FRA,software_enterprise-software_other-enterprise-software,TAKE-TWO INTERACTIVE SOFTWARE INC.
E-BEAM LTD,GBR,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
EA BERMUDA PARTNERSHIP,BMU,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA DELAWARE LLC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA DIGITAL ILLUSIONS CE AB,SWE,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA ENTERTAINMENT INC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA GENERAL PARTNER LTD,BMU,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA INTERNATIONAL (STUDIO AND PUBLISHING) LTD,BMU,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA MEXICO S DE RL DE CV,MEX,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA SOFTWARE SOUTH AFRICA (PTY) LTD,ZAF,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EA SWISS SARL,CHE,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
EAN COM LP,USA,digital-advertising,"EXPEDIA GROUP, INC."
EAN COM LP,USA,online-travel-market,"EXPEDIA GROUP, INC."
EB2 INTERNATIONAL LIMITED,GBR,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
EB2 INTERNATIONAL PTY LTD,AUS,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
EBAY (UK) LIMITED,GBR,online-marketplace,EBAY INC
EBAY CANADA LTD,CAN,online-marketplace,EBAY INC
EBAY CANADA TECHNOLOGY LTD,CAN,online-marketplace,EBAY INC
EBAY CONNECTION,USA,online-marketplace,EBAY INC
EBAY CZECH REPUBLIC S.R.O.,CZE,online-marketplace,EBAY INC
EBAY ENTERPRISE INC,USA,online-marketplace,EBAY INC
EBAY EUROPE SERVICES LIMITED,IRL,online-marketplace,EBAY INC
EBAY FRANCE,FRA,online-marketplace,EBAY INC
EBAY GMARKET CO LTD,KOR,online-marketplace,EBAY INC
EBAY INC,USA,online-marketplace,EBAY INC
EBAY INTERNATIONAL MARKETING GMBH,CHE,online-marketplace,EBAY INC
EBAY JAPAN G.K.,JPN,online-marketplace,EBAY INC
EBAY KLEINANZEIGEN GMBH,DEU,online-marketplace,EBAY INC
EBAY KTA (UK) LTD,GBR,online-marketplace,EBAY INC
"EBAY MANAGEMENT (SHANGHAI) CO., LTD.",CHN,online-marketplace,EBAY INC
EBAY S.A R.L.,LUX,online-marketplace,EBAY INC
EBAY SERVICES S.A R.L.,LUX,online-marketplace,EBAY INC
ECTONE (INDIA) PRIVATE LIMITED,IND,cloud-computing,ORACLE CORP
ECTONE (INDIA) PRIVATE LIMITED,IND,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
ECTONE INC,USA,cloud-computing,ORACLE CORP
ECTONE INC,USA,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
EDADIL,RUS,software_enterprise-software_customer-relationship-management-software,YANDEX N.V
EDADIL PROMO,RUS,software_enterprise-software_customer-relationship-management-software,YANDEX N.V
EDOCS ASIA PACIFIC PTY LIMITED,AUS,cloud-computing,ORACLE CORP
EDOCS ASIA PACIFIC PTY LIMITED,AUS,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
EDX INC,USA,eservices_online-education,EDX INC
EGENCIA APAC HOLDINGS INC,USA,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA APAC HOLDINGS INC,USA,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA AUSTRALIA PTY LIMITED,AUS,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA AUSTRALIA PTY LIMITED,AUS,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA BELGIUM,BEL,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA BELGIUM,BEL,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA CANADA CORP,CAN,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA CANADA CORP,CAN,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA EUROPE,FRA,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA EUROPE,FRA,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA FRANCE,FRA,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA FRANCE,FRA,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA GMBH,DEU,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA GMBH,DEU,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA LLC,USA,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA LLC,USA,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA TRAVEL INDIA PRIVATE LIMITED,IND,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA TRAVEL INDIA PRIVATE LIMITED,IND,online-travel-market,"EXPEDIA GROUP, INC."
EGENCIA UK LTD,GBR,digital-advertising,"EXPEDIA GROUP, INC."
EGENCIA UK LTD,GBR,online-travel-market,"EXPEDIA GROUP, INC."
EIDOS MONTREAL,CAN,digital-media_video-games_pc-games,"SQUARE ENIX HOLDINGS CO.,LTD."
ELECTRONIC ARTS (INDIA HOLDINGS) INC.,MUS,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS (UK) LIMITED,GBR,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS - TIBURON A FLORIDA CORP,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS ASIA PACIFIC PTE LTD,SGP,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS BELGIUM,BEL,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS CANADA INC,CAN,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
"ELECTRONIC ARTS COMPUTER SOFTWARE (SHANGHAI) CO., LTD.",CHN,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS CV,NLD,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
"ELECTRONIC ARTS CZECH REPUBLIC S.R.O., V",CZE,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS DENMARK APS,DNK,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS FINLAND OY,FIN,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS GAMES (INDIA) PRIVATE LIMITED,IND,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS GMBH,DEU,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS HK LIMITED,HKG,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS INC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS IRELAND LIMITED,IRL,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS ITALIA S.R.L.,ITA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS KOREA LLC,KOR,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS LIMITED,GBR,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS LTDA. EM LIQUIDACAO,BRA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS NEDERLAND B.V.,NLD,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS NEW ZEALAND,NZL,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS NORWAY AS,NOR,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS POLSKA SP. Z O.O.,POL,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS PRODUCTIONS INC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS PROPRIETARY LIMITED,AUS,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS PUBLISHING,FRA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS REDWOOD LLC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS ROMANIA SRL,ROU,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS SOFTWARE SL,ESP,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS SWEDEN AB,SWE,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS TRANSFER CO,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS US CO,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS WORLD II LLC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELECTRONIC ARTS WORLD LLC,USA,digital-media_video-games_pc-games,ELECTRONIC ARTS INC
ELEKTRONICZNE SYSTEMY SPRZEDAZY SP. Z O.O.,POL,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
ELINIA LIMITED,GBR,software_enterprise-software_other-enterprise-software,"RACKSPACE TECHNOLOGY, INC."
ELINIA WEBSERVICES LIMITED,GBR,software_enterprise-software_other-enterprise-software,"RACKSPACE TECHNOLOGY, INC."
ELO7 SERVICOS DE INFORMATICA S/A,BRA,digital-advertising,"ETSY, INC."
ELO7 SERVICOS DE INFORMATICA S/A,BRA,online-marketplace,"ETSY, INC."
ELONG INCORPORATED,CYM,digital-advertising,"EXPEDIA GROUP, INC."
ELONG INCORPORATED,CYM,online-travel-market,"EXPEDIA GROUP, INC."
"ELONGNET INFORMATION TECHNOLOGY (BEIJING) CO., LTD.",CHN,digital-advertising,"EXPEDIA GROUP, INC."
"ELONGNET INFORMATION TECHNOLOGY (BEIJING) CO., LTD.",CHN,online-travel-market,"EXPEDIA GROUP, INC."
ENDURANCE INTERNATIONAL GROUP INC,USA,web-hosting,ENDURANCE INTERNATIONAL GROUP INC
ENIC COCOS (KEELING) ISLANDS PTY LTD,AUS,cloud-computing,VERISIGN INC
EONTEC AUSTRALIA PTY LIMITED,AUS,cloud-computing,ORACLE CORP
EONTEC AUSTRALIA PTY LIMITED,AUS,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
EONTEC LIMITED,IRL,cloud-computing,ORACLE CORP
EONTEC LIMITED,IRL,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
ETRAVELI GROUP AB,SWE,online-travel-market,TRIP.COM GROUP LIMITED
ETSY FRANCE SAS,FRA,digital-advertising,"ETSY, INC."
ETSY FRANCE SAS,FRA,online-marketplace,"ETSY, INC."
ETSY UK LIMITED,GBR,digital-advertising,"ETSY, INC."
ETSY UK LIMITED,GBR,online-marketplace,"ETSY, INC."
"ETSY, INC.",USA,digital-advertising,"ETSY, INC."
"ETSY, INC.",USA,online-marketplace,"ETSY, INC."
EURL NETFLIX AGRO SERVICES,DZA,digital-media_video-on-demand_video-streaming-svod,"NETFLIX, INC."
EUROPAEISCHES MICROSOFT INNOVATIONS CENTER GMBH,DEU,cloud-computing,MICROSOFT CORPORATION
EUROPAEISCHES MICROSOFT INNOVATIONS CENTER GMBH,DEU,digital-advertising,MICROSOFT CORPORATION
EUROPAEISCHES MICROSOFT INNOVATIONS CENTER GMBH,DEU,operating-system,MICROSOFT CORPORATION
EUROPAEISCHES MICROSOFT INNOVATIONS CENTER GMBH,DEU,software_productivity-software_office-software,MICROSOFT CORPORATION
EUROPEAN POKER TOUR (IOM) LIMITED,GBR,online-gambling,STARS GROUP INC. (THE)
EXASOL AG,DEU,software_enterprise-software_enterprise-resource-planning-software,EXASOL AG
EXCEL MICRO INC,USA,Cybersecurity,EXCEL MICRO INC
EXCELON CORP,USA,software_productivity-software_creative-software,EXCELON CORP
"EXELA FINANCE, INC.",USA,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
"EXELA INTERMEDIATE HOLDINGS, LLC",USA,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
"EXELA INTERMEDIATE, LLC",USA,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES AB,SWE,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES ECM SOLUTIONS GMBH,DEU,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES HOLDING GMBH,DEU,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES INDIA PRIVATE LIMITED,IND,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES LIMITED,GBR,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXELA TECHNOLOGIES SP. Z O.O.,POL,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
"EXELA TECHNOLOGIES, INC.",USA,software_enterprise-software_other-enterprise-software,"EXELA TECHNOLOGIES, INC."
EXHILARATION INCENTIVE MANAGEMENT LIMITED,GBR,software_enterprise-software_customer-relationship-management-software,SABRE CORPORATION
EXPEDIA ALPHA Y.K.,JPN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ALPHA Y.K.,JPN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ARGENTINA SRL,ARG,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ARGENTINA SRL,ARG,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC - BETA LIMITED,CYM,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC - BETA LIMITED,CYM,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC - GAMMA LIMITED,CYM,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC - GAMMA LIMITED,CYM,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC LIMITED,HKG,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC LIMITED,HKG,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC-ALPHA LTD,CYM,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ASIA PACIFIC-ALPHA LTD,CYM,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA AUSTRALIA PTY LTD,AUS,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA AUSTRALIA PTY LTD,AUS,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA CANADA CORP,CAN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA CANADA CORP,CAN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA DO BRASIL AGENCIA DE VIAGENS E TURISMO LTDA,BRA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA DO BRASIL AGENCIA DE VIAGENS E TURISMO LTDA,BRA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA EPSILON KK,JPN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA EPSILON KK,JPN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA FINLAND OY,FIN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA FINLAND OY,FIN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA FRANCE,FRA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA FRANCE,FRA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA GLOBAL LLC,USA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA GLOBAL LLC,USA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA GREECE TRAVEL SUPPORT SERVICES EPE,GRC,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA GREECE TRAVEL SUPPORT SERVICES EPE,GRC,online-travel-market,"EXPEDIA GROUP, INC."
"EXPEDIA GROUP, INC.",USA,digital-advertising,"EXPEDIA GROUP, INC."
"EXPEDIA GROUP, INC.",USA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA HOLDINGS K.K.,JPN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA HOLDINGS K.K.,JPN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA HOLDINGS SAS,FRA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA HOLDINGS SAS,FRA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ITALY S.R.L.,ITA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ITALY S.R.L.,ITA,online-travel-market,"EXPEDIA GROUP, INC."
"EXPEDIA KOREA CO.,LTD",KOR,digital-advertising,"EXPEDIA GROUP, INC."
"EXPEDIA KOREA CO.,LTD",KOR,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA LODGING PARTNER SERVICES SARL,CHE,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA LODGING PARTNER SERVICES SARL,CHE,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA MEXICO SRL,MEX,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA MEXICO SRL,MEX,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA NEW ZEALAND LIMITED,NZL,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA NEW ZEALAND LIMITED,NZL,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA OMEGA K.K.,JPN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA OMEGA K.K.,JPN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA ONLINE TRAVEL SERVICES INDIA PRIVATE LIMITED,IND,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA ONLINE TRAVEL SERVICES INDIA PRIVATE LIMITED,IND,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA POLAND SP. Z O.O.,POL,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA POLAND SP. Z O.O.,POL,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SERVICES,FRA,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SERVICES,FRA,online-travel-market,"EXPEDIA GROUP, INC."
"EXPEDIA SERVICES CZ, S.R.O.",CZE,digital-advertising,"EXPEDIA GROUP, INC."
"EXPEDIA SERVICES CZ, S.R.O.",CZE,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SIGMA K.K.,JPN,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SIGMA K.K.,JPN,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SINGAPORE PTE. LTD.,SGP,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SINGAPORE PTE. LTD.,SGP,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SOUTHEAST ASIA PTE. LTD.,SGP,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SOUTHEAST ASIA PTE. LTD.,SGP,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SPAIN SL,ESP,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SPAIN SL,ESP,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA SWEDEN AB,SWE,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA SWEDEN AB,SWE,online-travel-market,"EXPEDIA GROUP, INC."
"EXPEDIA US, INC.",USA,digital-advertising,"EXPEDIA GROUP, INC."
"EXPEDIA US, INC.",USA,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA.COM GMBH,DEU,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA.COM GMBH,DEU,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA.COM LIMITED,GBR,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA.COM LIMITED,GBR,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIA.NL B.V.,NLD,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIA.NL B.V.,NLD,online-travel-market,"EXPEDIA GROUP, INC."
EXPEDIATURKEY SEYAHAT DESTEK HIZMETLERI LIMITED SIRKETI,TUR,digital-advertising,"EXPEDIA GROUP, INC."
EXPEDIATURKEY SEYAHAT DESTEK HIZMETLERI LIMITED SIRKETI,TUR,online-travel-market,"EXPEDIA GROUP, INC."
"F&C - FASHION CONCIERGE, LDA",PRT,online-marketplace,FARFETCH LIMITED
F.F.B.R. IMPORTACAO E EXPORTACAO LTDA,BRA,online-marketplace,FARFETCH LIMITED
FABRIK GAMES LIMITED,GBR,digital-media_video-games_pc-games,SONY GROUP CORPORATION
FACEBOOK (THAILAND) CO LTD,THA,digital-advertising,"META PLATFORMS, INC."
FACEBOOK (THAILAND) CO LTD,THA,payment-service,"META PLATFORMS, INC."
FACEBOOK ARGENTINA SRL,ARG,digital-advertising,"META PLATFORMS, INC."
FACEBOOK ARGENTINA SRL,ARG,payment-service,"META PLATFORMS, INC."
FACEBOOK AUSTRALIA PTY LTD,AUS,digital-advertising,"META PLATFORMS, INC."
FACEBOOK AUSTRALIA PTY LTD,AUS,payment-service,"META PLATFORMS, INC."
FACEBOOK BELGIUM,BEL,digital-advertising,"META PLATFORMS, INC."
FACEBOOK BELGIUM,BEL,payment-service,"META PLATFORMS, INC."
FACEBOOK COLOMBIA S A S,COL,digital-advertising,"META PLATFORMS, INC."
FACEBOOK COLOMBIA S A S,COL,payment-service,"META PLATFORMS, INC."
FACEBOOK DENMARK APS,DNK,digital-advertising,"META PLATFORMS, INC."
FACEBOOK DENMARK APS,DNK,payment-service,"META PLATFORMS, INC."
FACEBOOK ENSURE SOLUTIONS LTD,GBR,digital-advertising,"META PLATFORMS, INC."
FACEBOOK ENSURE SOLUTIONS LTD,GBR,payment-service,"META PLATFORMS, INC."
FACEBOOK FASHION,IND,digital-advertising,"META PLATFORMS, INC."
FACEBOOK FASHION,IND,payment-service,"META PLATFORMS, INC."
FACEBOOK FRANCE,FRA,digital-advertising,"META PLATFORMS, INC."
FACEBOOK FRANCE,FRA,payment-service,"META PLATFORMS, INC."
"FACEBOOK HOLDINGS, LLC",USA,digital-advertising,"META PLATFORMS, INC."
"FACEBOOK HOLDINGS, LLC",USA,payment-service,"META PLATFORMS, INC."
FACEBOOK HONG KONG LIMITED,HKG,digital-advertising,"META PLATFORMS, INC."
FACEBOOK HONG KONG LIMITED,HKG,payment-service,"META PLATFORMS, INC."
FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,IND,digital-advertising,"META PLATFORMS, INC."
FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,IND,payment-service,"META PLATFORMS, INC."
FACEBOOK INTERNATIONAL TREASURY OPERATIONS LIMITED,IRL,digital-advertising,"META PLATFORMS, INC."
FACEBOOK INTERNATIONAL TREASURY OPERATIONS LIMITED,IRL,payment-service,"META PLATFORMS, INC."
FACEBOOK ISRAEL LTD,ISR,digital-advertising,"META PLATFORMS, INC."
FACEBOOK ISRAEL LTD,ISR,payment-service,"META PLATFORMS, INC."
FACEBOOK ITALY S.R.L.,ITA,digital-advertising,"META PLATFORMS, INC."
FACEBOOK ITALY S.R.L.,ITA,payment-service,"META PLATFORMS, INC."
FACEBOOK JAPAN K.K.,JPN,digital-advertising,"META PLATFORMS, INC."
FACEBOOK JAPAN K.K.,JPN,payment-service,"META PLATFORMS, INC."
FACEBOOK KOREA LIMITED,KOR,digital-advertising,"META PLATFORMS, INC."
FACEBOOK KOREA LIMITED,KOR,payment-service,"META PLATFORMS, INC."
FACEBOOK MEXICO SRL,MEX,digital-advertising,"META PLATFORMS, INC."
FACEBOOK MEXICO SRL,MEX,payment-service,"META PLATFORMS, INC."
FACEBOOK NETHERLANDS B.V.,NLD,digital-advertising,"META PLATFORMS, INC."
FACEBOOK NETHERLANDS B.V.,NLD,payment-service,"META PLATFORMS, INC."
FACEBOOK NORWAY AS,NOR,digital-advertising,"META PLATFORMS, INC."
FACEBOOK NORWAY AS,NOR,payment-service,"META PLATFORMS, INC."
FACEBOOK PAYMENTS INTERNATIONAL LIMITED,IRL,digital-advertising,"META PLATFORMS, INC."
FACEBOOK PAYMENTS INTERNATIONAL LIMITED,IRL,payment-service,"META PLATFORMS, INC."
FACEBOOK POLAND SP. Z O.O.,POL,digital-advertising,"META PLATFORMS, INC."
FACEBOOK POLAND SP. Z O.O.,POL,payment-service,"META PLATFORMS, INC."
FACEBOOK SINGAPORE PTE. LTD.,SGP,digital-advertising,"META PLATFORMS, INC."
